סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
0,לא רשום,,0,לא ידוע,0,,0,
6000,באקה אל-גרביה,,32,חדרה,32,חדרה,0,
1278,באר מילכה,,62,באר שבע,62,באר שבע,48,רמת נגב
1309,אלעד,,42,פתח תקווה,349,ראש העין,0,
1314,נווה זיו,,24,עכו,24,עכו,52,מעלה יוסף
1320,עין חוד,,32,חדרה,32,חדרה,15,חוף הכרמל
1321,ח'ואלד,,31,חיפה,31,חיפה,12,זבולון
1329,יתיר,,62,באר שבע,62,באר שבע,0,
1330,אחוזת ברק,,23,עפולה,23,עפולה,9,עמק יזרעאל
1331,כמאנה,,24,עכו,20,כרמיאל,56,משגב
3400,חברון,,77,חברון,11,ירושלים,0,
3724,נגוהות,,77,חברון,11,ירושלים,78,הר חברון
3744,ברוכין,,73,טול כרם,48,אריאל,72,שומרון
1333,נוף איילון,,43,רמלה,43,רמלה,30,גזר
1334,ראס אל-עין,,24,עכו,20,כרמיאל,56,משגב
1337,שמשית,,23,עפולה,23,עפולה,9,עמק יזרעאל
1338,כדיתה,,21,צפת,21,צפת,2,מרום הגליל
1339,אל-עזי,,61,אשקלון,61,אשקלון,35,יואב
1340,מרחב עם,,62,באר שבע,62,באר שבע,48,רמת נגב
1341,רוח מדבר,,62,באר שבע,62,באר שבע,48,רמת נגב
1344,גבעות בר,,62,באר שבע,62,באר שבע,41,בני שמעון
1346,תראבין א-צאנע(ישוב),,62,באר שבע,62,באר שבע,69,אל קסום
1347,קצר א-סר,,62,באר שבע,62,באר שבע,68,נווה מדבר
1348,ביר הדאג',,62,באר שבע,62,באר שבע,68,נווה מדבר
1349,דריג'את,,62,באר שבע,62,באר שבע,69,אל קסום
1358,אום בטין,,62,באר שבע,62,באר שבע,69,אל קסום
1359,אל סייד,,62,באר שבע,62,באר שבע,69,אל קסום
1360,סעוה,,62,באר שבע,62,באר שבע,69,אל קסום
1364,שלומית,,62,באר שבע,62,באר שבע,38,אשכול
1367,כחלה,,62,באר שבע,62,באר שבע,69,אל קסום
1370,מצפה אילן,,32,חדרה,32,חדרה,14,מנשה
1371,גני טל,,44,רחובות,44,רחובות,31,נחל שורק
1372,נצר חזני,,44,רחובות,44,רחובות,31,נחל שורק
1375,אבו תלול,,62,באר שבע,62,באר שבע,68,נווה מדבר
1376,באר גנים,,62,באר שבע,61,אשקלון,36,חוף אשקלון
1411,מחנה הילה,,44,רחובות,46,ראשון לציון,27,גן רווה
1412,מחנה תל נוף,,44,רחובות,44,רחובות,28,ברנר
1413,מחנה יהודית,,23,עפולה,23,עפולה,9,עמק יזרעאל
1414,מחנה מרים,,61,אשקלון,61,אשקלון,33,באר טוביה
1415,מחנה יפה,,62,באר שבע,62,באר שבע,42,מרחבים
1416,מחנה יוכבד,,62,באר שבע,63,אילת,53,חבל אילות
1418,מחנה טלי,,62,באר שבע,62,באר שבע,48,רמת נגב
1243,קציר,,32,חדרה,32,חדרה,14,מנשה
963,אעצם (שבט),A'SAM,62,באר שבע,62,באר שבע,0,
1220,אבירים,ABBIRIM,24,עכו,24,עכו,52,מעלה יוסף
958,אבו עבדון (שבט),ABU ABDUN,62,באר שבע,62,באר שבע,0,
1042,אבו עמאר (שבט),ABU AMMAR,62,באר שבע,62,באר שבע,0,
932,אבו עמרה (שבט),ABU AMRE,62,באר שבע,62,באר שבע,0,
472,אבו גוש,ABU GHOSH,11,ירושלים,11,ירושלים,0,
967,אבו ג'ווייעד (שבט),ABU JUWEI'ID,62,באר שבע,62,באר שבע,0,
968,אבו קורינאת (שבט),ABU QUREINAT,62,באר שבע,62,באר שבע,0,
1342,אבו קרינאת (יישוב),ABU QUREINAT,62,באר שבע,62,באר שבע,68,נווה מדבר
966,אבו רובייעה (שבט),ABU RUBEI'A,62,באר שבע,62,באר שבע,0,
961,אבו רוקייק (שבט),ABU RUQAYYEQ,62,באר שבע,62,באר שבע,0,
473,אבו סנאן,ABU SINAN,24,עכו,24,עכו,0,
935,אבו סריחאן (שבט),ABU SUREIHAN,62,באר שבע,62,באר שבע,0,
1068,אדמית,ADAMIT,24,עכו,24,עכו,4,מטה אשר
2035,עדנים,ADANIM,42,פתח תקווה,42,פתח תקוה,20,דרום השרון
1123,אדרת,ADDERET,11,ירושלים,13,בית שמש,26,מטה יהודה
113,אדירים,ADDIRIM,23,עפולה,23,עפולה,8,הגלבוע
1199,עדי,ADI,24,עכו,24,עכו,9,עמק יזרעאל
3759,אדורה,ADORA,77,חברון,13,בית שמש,78,הר חברון
959,אפיניש (שבט),AFEINISH,62,באר שבע,62,באר שבע,0,
313,אפק,AFEQ,24,עכו,24,עכו,4,מטה אשר
4301,אפיק,AFIQ,29,גולן,22,טבריה,71,גולן
176,אפיקים,AFIQIM,22,כנרת,22,טבריה,6,עמק הירדן
7700,עפולה,AFULA,23,עפולה,23,עפולה,0,
794,עגור,AGUR,11,ירושלים,13,בית שמש,26,מטה יהודה
1157,אחווה,AHAWA,61,אשקלון,61,אשקלון,33,באר טוביה
797,אחיעזר,AHI'EZER,43,רמלה,43,רמלה,40,שדות דן
785,אחיהוד,AHIHUD,24,עכו,24,עכו,4,מטה אשר
804,אחיסמך,AHISAMAKH,43,רמלה,43,רמלה,25,חבל מודיעין
850,אחיטוב,AHITUV,41,השרון,41,נתניה,16,עמק חפר
821,אחוזם,AHUZZAM,61,אשקלון,61,אשקלון,50,לכיש
7600,עכו,AKKO,24,עכו,24,עכו,0,
1316,אל-עריאן,AL-ARYAN,32,חדרה,32,חדרה,14,מנשה
3727,עלי זהב,ALE ZAHAV,73,טול כרם,48,אריאל,72,שומרון
3750,אלפי מנשה,ALFE MENASHE,73,טול כרם,349,ראש העין,0,
1182,אלון הגליל,ALLON HAGALIL,23,עפולה,23,עפולה,9,עמק יזרעאל
3604,אלון שבות,ALLON SHEVUT,76,בית לחם,11,ירושלים,76,גוש עציון
429,אלוני אבא,ALLONE ABBA,23,עפולה,23,עפולה,9,עמק יזרעאל
4017,אלוני הבשן,ALLONE HABASHAN,29,גולן,22,טבריה,71,גולן
868,אלוני יצחק,ALLONE YIZHAQ,32,חדרה,32,חדרה,14,מנשה
285,אלונים,ALLONIM,23,עפולה,23,עפולה,9,עמק יזרעאל
688,עלמה,ALMA,21,צפת,21,צפת,2,מרום הגליל
1125,אלמגור,ALMAGOR,22,כנרת,22,טבריה,6,עמק הירדן
3556,אלמוג,ALMOG,75,ירדן )יריחו(,11,ירושלים,74,מגילות ים המלח
3715,עלמון,ALMON,74,ראמאללה,11,ירושלים,73,מטה בנימין
1146,עלומים,ALUMIM,62,באר שבע,62,באר שבע,39,שדות נגב
1145,אלומה,ALUMMA,61,אשקלון,61,אשקלון,34,שפיר
330,אלומות,ALUMMOT,22,כנרת,22,טבריה,6,עמק הירדן
23,אמציה,AMAZYA,61,אשקלון,61,אשקלון,50,לכיש
319,עמיר,AMIR,21,צפת,21,צפת,1,הגליל העליון
1064,אמירים,AMIRIM,21,צפת,21,צפת,2,מרום הגליל
385,עמיעד,AMMI'AD,21,צפת,21,צפת,1,הגליל העליון
318,עמיעוז,AMMI'OZ,62,באר שבע,62,באר שבע,38,אשכול
779,עמינדב,AMMINADAV,11,ירושלים,11,ירושלים,26,מטה יהודה
773,עמיקם,AMMIQAM,32,חדרה,32,חדרה,45,אלונה
1253,אמנון,AMNUN,22,כנרת,22,טבריה,55,מבואות החרמון
708,עמקה,AMQA,24,עכו,24,עכו,4,מטה אשר
1212,עמוקה,AMUQQA,21,צפת,21,צפת,2,מרום הגליל
4012,אניעם,ANI'AM,29,גולן,22,טבריה,71,גולן
637,ערערה,AR'ARA,32,חדרה,32,חדרה,0,
1192,ערערה-בנגב,AR'ARA-BANEGEV,62,באר שבע,62,באר שבע,0,
2560,ערד,ARAD,62,באר שבע,62,באר שבע,0,
1246,עראמשה,ARAMSHA,24,עכו,24,עכו,4,מטה אשר
701,ארבל,ARBEL,22,כנרת,22,טבריה,3,הגליל התחתון
3598,ארגמן,ARGAMAN,75,ירדן )יריחו(,23,עפולה,75,ערבות הירדן
3570,אריאל,ARI'EL,73,טול כרם,48,אריאל,0,
1335,ערב אל נעים,ARRAB AL NAIM,24,עכו,20,כרמיאל,56,משגב
531,עראבה,ARRABE,24,עכו,24,עכו,0,
1324,ארסוף,ARSUF,41,השרון,41,נתניה,19,חוף השרון
593,ערוגות,ARUGOT,61,אשקלון,61,אשקלון,33,באר טוביה
960,אסד (שבט),ASAD,62,באר שבע,62,באר שבע,0,
3754,אספר,ASEFAR,77,חברון,11,ירושלים,76,גוש עציון
591,עשרת,ASERET,44,רחובות,44,רחובות,32,גדרות
1152,אשלים,ASHALIM,62,באר שבע,62,באר שבע,48,רמת נגב
70,אשדוד,ASHDOD,61,אשקלון,69,אשדוד,0,
199,אשדות יעקב (איחוד),ASHDOT YA'AQOV(IHUD),22,כנרת,22,טבריה,6,עמק הירדן
188,אשדות יעקב (מאוחד),ASHDOT YA'AQOV(ME'UH,22,כנרת,22,טבריה,6,עמק הירדן
1256,אשרת,ASHERAT,24,עכו,24,עכו,4,מטה אשר
7100,אשקלון,ASHQELON,61,אשקלון,61,אשקלון,0,
969,עטאוונה (שבט),ATAWNE,62,באר שבע,62,באר שבע,0,
3658,עטרת,ATERET,74,ראמאללה,11,ירושלים,73,מטה בנימין
53,עתלית,ATLIT,32,חדרה,32,חדרה,15,חוף הכרמל
965,אטרש (שבט),ATRASH,62,באר שבע,62,באר שבע,0,
917,עצמון שגב,ATSMON-SEGEV,24,עכו,20,כרמיאל,56,משגב
892,עבדון,AVDON,24,עכו,24,עכו,52,מעלה יוסף
3786,אבנת,AVENAT,75,ירדן )יריחו(,11,ירושלים,74,מגילות ים המלח
679,אביאל,AVI'EL,32,חדרה,32,חדרה,45,אלונה
1070,אביעזר,AVI'EZER,11,ירושלים,13,בית שמש,26,מטה יהודה
819,אביגדור,AVIGEDOR,61,אשקלון,61,אשקלון,33,באר טוביה
175,אביחיל,AVIHAYIL,41,השרון,41,נתניה,16,עמק חפר
2052,אביטל,AVITAL,23,עפולה,23,עפולה,8,הגלבוע
1115,אביבים,AVIVIM,21,צפת,21,צפת,2,מרום הגליל
4011,אבני איתן,AVNE ETAN,29,גולן,22,טבריה,71,גולן
3793,אבני חפץ,AVNE HEFEZ,73,טול כרם,41,נתניה,72,שומרון
1311,אבשלום,AVSHALOM,62,באר שבע,62,באר שבע,38,אשכול
1275,אבטליון,AVTALYON,24,עכו,20,כרמיאל,56,משגב
156,עיינות,AYANOT,44,רחובות,44,רחובות,27,גן רווה
77,איילת השחר,AYYELET HASHAHAR,21,צפת,21,צפת,1,הגליל העליון
711,עזריה,AZARYA,43,רמלה,43,רמלה,30,גזר
565,אזור,AZOR,53,חולון,53,חולון,0,
837,עזריאל,AZRI'EL,41,השרון,41,נתניה,18,לב השרון
817,עזריקם,AZRIQAM,61,אשקלון,61,אשקלון,33,באר טוביה
2043,בחן,BAHAN,41,השרון,41,נתניה,16,עמק חפר
94,בלפוריה,BALFURIYYA,23,עפולה,23,עפולה,9,עמק יזרעאל
823,בר גיורא,BAR GIYYORA,11,ירושלים,13,בית שמש,26,מטה יהודה
1191,בר יוחאי,BAR YOHAY,21,צפת,21,צפת,2,מרום הגליל
667,ברעם,BAR'AM,21,צפת,21,צפת,1,הגליל העליון
141,ברק,BARAQ,23,עפולה,23,עפולה,8,הגלבוע
2038,ברקת,BAREQET,42,פתח תקווה,42,פתח תקוה,25,חבל מודיעין
3654,ברקן,BARQAN,73,טול כרם,48,אריאל,72,שומרון
617,ברקאי,BARQAY,32,חדרה,32,חדרה,14,מנשה
1326,"בסמ""ה",BASMA,32,חדרה,32,חדרה,0,
944,בסמת טבעון,BASMAT TAB'UN,23,עפולה,23,עפולה,0,
3794,בת עין,BAT AYIN,76,בית לחם,11,ירושלים,76,גוש עציון
1323,בת הדר,BAT HADAR,61,אשקלון,61,אשקלון,36,חוף אשקלון
1401,בת חצור,BAT HAZOR,61,אשקלון,61,אשקלון,33,באר טוביה
1319,בת חפר,BAT HEFER,41,השרון,41,נתניה,16,עמק חפר
1361,בת חן,BAT HEN,41,השרון,41,נתניה,16,עמק חפר
33,בת שלמה,BAT SHELOMO,32,חדרה,32,חדרה,15,חוף הכרמל
6200,בת ים,BAT YAM,53,חולון,53,חולון,0,
389,בצרה,BAZRA,41,השרון,41,נתניה,19,חוף השרון
21,באר אורה,BE'ER ORA,62,באר שבע,63,אילת,53,חבל אילות
9000,באר שבע,BE'ER SHEVA,62,באר שבע,62,באר שבע,0,
155,באר טוביה,BE'ER TUVEYA,61,אשקלון,61,אשקלון,33,באר טוביה
2530,באר יעקב,BE'ER YA'AQOV,43,רמלה,43,רמלה,0,
399,בארי,BE'ERI,62,באר שבע,62,באר שבע,38,אשכול
450,בארות יצחק,BE'EROT YIZHAQ,42,פתח תקווה,42,פתח תקוה,25,חבל מודיעין
697,בארותיים,BE'EROTAYIM,41,השרון,41,נתניה,16,עמק חפר
480,בית ג'ן,BEIT JANN,24,עכו,20,כרמיאל,0,
712,בן עמי,BEN AMMI,24,עכו,24,עכו,4,מטה אשר
2013,בן שמן (מושב),BEN SHEMEN (MOSHAV),43,רמלה,43,רמלה,25,חבל מודיעין
1084,בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR),43,רמלה,43,רמלה,25,חבל מודיעין
760,בן זכאי,BEN ZAKKAY,44,רחובות,44,רחובות,29,חבל יבנה
685,בניה,BENAYA,44,רחובות,44,רחובות,28,ברנר
448,בני עטרות,BENE ATAROT,42,פתח תקווה,42,פתח תקוה,25,חבל מודיעין
1066,"בני עי""ש",BENE AYISH,44,רחובות,44,רחובות,0,
6100,בני ברק,BENE BERAQ,52,רמת גן,54,בני ברק,0,
592,בני דרום,BENE DAROM,44,רחובות,44,רחובות,29,חבל יבנה
386,בני דרור,BENE DEROR,41,השרון,41,נתניה,18,לב השרון
1363,בני נצרים,BENE NEZARIM,62,באר שבע,62,באר שבע,38,אשכול
588,בני ראם,BENE RE'EM,44,רחובות,44,רחובות,31,נחל שורק
4015,בני יהודה,BENE YEHUDA,29,גולן,22,טבריה,71,גולן
418,בני ציון,BENE ZIYYON,41,השרון,41,נתניה,19,חוף השרון
3612,בקעות,BEQA'OT,75,ירדן )יריחו(,23,עפולה,75,ערבות הירדן
864,בקוע,BEQOA,11,ירושלים,13,בית שמש,26,מטה יהודה
3710,ברכה,BERAKHA,72,שכם,48,אריאל,72,שומרון
746,ברכיה,BEREKHYA,61,אשקלון,61,אשקלון,36,חוף אשקלון
428,ברור חיל,BEROR HAYIL,61,אשקלון,61,אשקלון,37,שער הנגב
2060,ברוש,BEROSH,62,באר שבע,62,באר שבע,41,בני שמעון
95,בית אלפא,BET ALFA,23,עפולה,23,עפולה,8,הגלבוע
604,בית עריף,BET ARIF,43,רמלה,43,רמלה,25,חבל מודיעין
3652,בית אריה,BET ARYE,74,ראמאללה,349,ראש העין,0,
1076,בית ברל,BET BERL,42,פתח תקווה,47,כפר סבא,20,דרום השרון
466,בית דגן,BET DAGAN,43,רמלה,43,רמלה,0,
3574,בית אל,BET EL,74,ראמאללה,11,ירושלים,0,
562,בית אלעזרי,BET EL'AZARI,44,רחובות,44,רחובות,28,ברנר
756,בית עזרא,BET EZRA,61,אשקלון,61,אשקלון,33,באר טוביה
571,בית גמליאל,BET GAMLI'EL,44,רחובות,44,רחובות,29,חבל יבנה
619,בית גוברין,BET GUVRIN,61,אשקלון,61,אשקלון,35,יואב
3645,בית הערבה,BET HAARAVA,75,ירדן )יריחו(,11,ירושלים,74,מגילות ים המלח
572,בית העמק,BET HAEMEQ,24,עכו,24,עכו,4,מטה אשר
723,בית הגדי,BET HAGADDI,62,באר שבע,62,באר שבע,39,שדות נגב
373,בית הלוי,BET HALEVI,41,השרון,41,נתניה,16,עמק חפר
159,בית חנן,BET HANAN,44,רחובות,44,רחובות,27,גן רווה
800,בית חנניה,BET HANANYA,32,חדרה,32,חדרה,15,חוף הכרמל
242,בית השיטה,BET HASHITTA,23,עפולה,23,עפולה,8,הגלבוע
1050,בית חשמונאי,BET HASHMONAY,43,רמלה,43,רמלה,30,גזר
877,בית חירות,BET HERUT,41,השרון,41,נתניה,16,עמק חפר
322,בית הלל,BET HILLEL,21,צפת,21,צפת,55,מבואות החרמון
2033,בית חלקיה,BET HILQIYYA,44,רחובות,44,רחובות,31,נחל שורק
3575,בית חורון,BET HORON,74,ראמאללה,11,ירושלים,73,מטה בנימין
430,בית לחם הגלילית,BET LEHEM HAGELILIT,23,עפולה,23,עפולה,9,עמק יזרעאל
751,בית מאיר,BET ME'IR,11,ירושלים,13,בית שמש,26,מטה יהודה
784,בית נחמיה,BET NEHEMYA,43,רמלה,43,רמלה,25,חבל מודיעין
672,בית נקופה,BET NEQOFA,11,ירושלים,11,ירושלים,26,מטה יהודה
16,בית ניר,BET NIR,61,אשקלון,61,אשקלון,35,יואב
317,בית אורן,BET OREN,32,חדרה,32,חדרה,15,חוף הכרמל
202,בית עובד,BET OVED,44,רחובות,44,רחובות,27,גן רווה
598,בית קמה,BET QAMA,62,באר שבע,62,באר שבע,41,בני שמעון
365,בית קשת,BET QESHET,22,כנרת,22,טבריה,3,הגליל התחתון
848,בית רבן,BET RABBAN,44,רחובות,44,רחובות,29,חבל יבנה
1162,בית רימון,BET RIMMON,23,עפולה,23,עפולה,3,הגליל התחתון
9200,בית שאן,BET SHE'AN,23,עפולה,23,עפולה,0,
248,בית שערים,BET SHE'ARIM,23,עפולה,23,עפולה,9,עמק יזרעאל
2610,בית שמש,BET SHEMESH,11,ירושלים,13,בית שמש,0,
747,בית שקמה,BET SHIQMA,61,אשקלון,61,אשקלון,36,חוף אשקלון
301,בית עוזיאל,BET UZZI'EL,43,רמלה,43,רמלה,30,גזר
200,בית ינאי,BET YANNAY,41,השרון,41,נתניה,16,עמק חפר
288,בית יהושע,BET YEHOSHUA,41,השרון,41,נתניה,19,חוף השרון
326,בית יצחק-שער חפר,BET YIZHAQ-SH. HEFER,41,השרון,41,נתניה,16,עמק חפר
265,בית יוסף,BET YOSEF,23,עפולה,23,עפולה,7,עמק המעיינות
710,בית זית,BET ZAYIT,11,ירושלים,11,ירושלים,26,מטה יהודה
353,בית זיד,BET ZEID,23,עפולה,23,עפולה,9,עמק יזרעאל
143,בית זרע,BET ZERA,22,כנרת,22,טבריה,6,עמק הירדן
212,בית צבי,BET ZEVI,32,חדרה,32,חדרה,15,חוף הכרמל
3780,ביתר עילית,BETAR ILLIT,76,בית לחם,11,ירושלים,0,
589,בצת,BEZET,24,עכו,24,עכו,4,מטה אשר
483,בענה,BI NE,24,עכו,24,עכו,0,
9800,בנימינה-גבעת עדה,BINYAMINA,32,חדרה,32,חדרה,0,
998,ביר אל-מכסור,BIR EL-MAKSUR,24,עכו,25,נוף הגליל,0,
368,ביריה,BIRIYYA,21,צפת,21,צפת,2,מרום הגליל
252,ביתן אהרן,BITAN AHARON,41,השרון,41,נתניה,16,עמק חפר
762,בטחה,BITHA,62,באר שבע,62,באר שבע,42,מרחבים
234,ביצרון,BIZZARON,61,אשקלון,61,אשקלון,33,באר טוביה
1368,בני דקלים,BNE DKALIM,61,אשקלון,61,אשקלון,50,לכיש
482,בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT,25,נצרת,25,נוף הגליל,0,
4001,בוקעאתא,BUQ'ATA,29,גולן,21,צפת,0,
698,בורגתה,BURGETA,41,השרון,41,נתניה,16,עמק חפר
559,בוסתן הגליל,BUSTAN HAGALIL,24,עכו,24,עכו,4,מטה אשר
489,דבוריה,DABBURYE,23,עפולה,23,עפולה,0,
302,דפנה,DAFNA,21,צפת,21,צפת,1,הגליל העליון
475,דחי,DAHI,23,עפולה,23,עפולה,66,בוסתאן אל-מרג'
494,דאלית אל-כרמל,DALIYAT AL-KARMEL,31,חיפה,31,חיפה,0,
300,דליה,DALIYYA,23,עפולה,23,עפולה,13,מגידו
431,דלתון,DALTON,21,צפת,21,צפת,2,מרום הגליל
303,דן,DAN,21,צפת,21,צפת,1,הגליל העליון
407,דברת,DAVERAT,23,עפולה,23,עפולה,9,עמק יזרעאל
62,דגניה א',DEGANYA ALEF,22,כנרת,22,טבריה,6,עמק הירדן
79,דגניה ב',DEGANYA BET,22,כנרת,22,טבריה,6,עמק הירדן
490,דייר אל-אסד,DEIR AL-ASAD,24,עכו,24,עכו,0,
492,דייר חנא,DEIR HANNA,24,עכו,24,עכו,0,
493,דייר ראפאת,DEIR RAFAT,11,ירושלים,13,בית שמש,26,מטה יהודה
1317,דמיידה,DEMEIDE,24,עכו,20,כרמיאל,56,משגב
1241,דקל,DEQEL,62,באר שבע,62,באר שבע,38,אשכול
849,דבירה,DEVIRA,62,באר שבע,62,באר שבע,41,בני שמעון
146,דבורה,DEVORA,23,עפולה,23,עפולה,8,הגלבוע
2200,דימונה,DIMONA,62,באר שבע,62,באר שבע,0,
2063,דישון,DISHON,21,צפת,21,צפת,55,מבואות החרמון
3747,דולב,DOLEV,74,ראמאללה,11,ירושלים,73,מטה בנימין
738,דור,DOR,32,חדרה,32,חדרה,15,חוף הכרמל
336,דורות,DOROT,61,אשקלון,61,אשקלון,37,שער הנגב
1067,"דוב""ב",DOVEV,21,צפת,21,צפת,2,מרום הגליל
3650,אפרת,EFRATA,76,בית לחם,11,ירושלים,0,
530,עיילבון,EILABUN,22,כנרת,22,טבריה,0,
546,עין אל-אסד,EIN AL-ASAD,24,עכו,21,צפת,2,מרום הגליל
532,עין מאהל,EIN MAHEL,25,נצרת,25,נוף הגליל,0,
521,עין נקובא,EIN NAQQUBA,11,ירושלים,11,ירושלים,26,מטה יהודה
4502,עין קנייא,EIN QINIYYE,29,גולן,21,צפת,0,
514,עין ראפה,EIN RAFA,11,ירושלים,11,ירושלים,26,מטה יהודה
3618,אלעזר,EL'AZAR,76,בית לחם,11,ירושלים,76,גוש עציון
4003,אל-רום,EL-ROM,29,גולן,21,צפת,71,גולן
2600,אילת,ELAT,62,באר שבע,63,אילת,0,
3765,עלי,ELI,72,שכם,48,אריאל,73,מטה בנימין
4002,אלי-עד,ELI AL,29,גולן,22,טבריה,71,גולן
1248,אליפז,ELIFAZ,62,באר שבע,63,אילת,53,חבל אילות
730,אליפלט,ELIFELET,21,צפת,21,צפת,55,מבואות החרמון
841,אלישמע,ELISHAMA,42,פתח תקווה,47,כפר סבא,20,דרום השרון
294,אילון,ELON,24,עכו,24,עכו,4,מטה אשר
3579,אלון מורה,ELON MORE,72,שכם,48,אריאל,72,שומרון
1126,אילות,ELOT,62,באר שבע,63,אילת,53,חבל אילות
3560,אלקנה,ELQANA,73,טול כרם,349,ראש העין,0,
603,אלקוש,ELQOSH,24,עכו,24,עכו,52,מעלה יוסף
41,אליכין,ELYAKHIN,41,השרון,32,חדרה,0,
682,אליקים,ELYAQIM,23,עפולה,23,עפולה,13,מגידו
204,אלישיב,ELYASHIV,41,השרון,32,חדרה,16,עמק חפר
772,אמונים,EMUNIM,61,אשקלון,61,אשקלון,33,באר טוביה
687,עין איילה,EN AYYALA,32,חדרה,32,חדרה,15,חוף הכרמל
436,עין דור,EN DOR,23,עפולה,23,עפולה,9,עמק יזרעאל
2042,עין גדי,EN GEDI,62,באר שבע,62,באר שבע,51,תמר
273,עין גב,EN GEV,22,כנרת,22,טבריה,6,עמק הירדן
1240,עין הבשור,EN HABESOR,62,באר שבע,62,באר שבע,38,אשכול
367,עין העמק,EN HAEMEQ,23,עפולה,23,עפולה,13,מגידו
167,עין החורש,EN HAHORESH,41,השרון,41,נתניה,16,עמק חפר
289,עין המפרץ,EN HAMIFRAZ,24,עכו,24,עכו,4,מטה אשר
383,"עין הנצי""ב",EN HANAZIV,23,עפולה,23,עפולה,7,עמק המעיינות
89,עין חרוד (איחוד),EN HAROD (IHUD),23,עפולה,23,עפולה,8,הגלבוע
82,עין חרוד (מאוחד),EN HAROD(ME'UHAD),23,עפולה,23,עפולה,8,הגלבוע
676,עין השלושה,EN HASHELOSHA,62,באר שבע,62,באר שבע,38,אשכול
270,עין השופט,EN HASHOFET,23,עפולה,23,עפולה,13,מגידו
1053,עין חצבה,EN HAZEVA,62,באר שבע,63,אילת,51,תמר
74,עין הוד,EN HOD,32,חדרה,32,חדרה,15,חוף הכרמל
223,עין עירון,EN IRON,32,חדרה,32,חדרה,14,מנשה
1056,"עין כרם-בי""ס חקלאי",EN KAREM-B.S.HAQLA'I,11,ירושלים,11,ירושלים,26,מטה יהודה
426,עין כרמל,EN KARMEL,32,חדרה,32,חדרה,15,חוף הכרמל
880,עין שריד,EN SARID,41,השרון,41,נתניה,18,לב השרון
139,עין שמר,EN SHEMER,32,חדרה,32,חדרה,14,מנשה
1251,עין תמר,EN TAMAR,62,באר שבע,62,באר שבע,51,תמר
157,עין ורד,EN WERED,41,השרון,41,נתניה,18,לב השרון
